,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
452,Claremore,36.3126,-95.6161,83.55,73,1,1.01
453,Puerto Padre,21.195,-76.6028,83.41,84,20,12.15
454,Havøysund,70.9963,24.6622,43.68,79,100,19.91
455,Kourou,5.1552,-52.6478,79.11,90,75,6.85
456,São Félix do Xingu,-6.6447,-51.995,81.23,45,95,1.48
457,Iracoubo,5.4802,-53.2011,78.28,88,46,9.13
458,Chikhli,20.35,76.25,72.79,90,100,9.13
459,Ouadda,8.0777,22.4007,66.51,98,100,3.06
460,Pimentel,-6.8367,-79.9342,66.0,83,6,3.0
461,Baiyin,36.5583,104.2081,76.08,63,16,3.15
462,Moïssala,8.3404,17.7663,69.53,93,100,3.36
463,Broome,42.2506,-75.833,62.24,72,1,1.99
464,Kysyl-Syr,63.8986,122.7617,76.28,53,60,2.66
465,Basoko,1.2391,23.616,74.73,74,99,4.07
466,Puerto Escondido,15.85,-97.0667,83.23,65,75,5.75
467,Charters Towers,-20.1,146.2667,75.06,48,6,14.56
468,Birin,26.8865,88.0718,68.92,81,0,3.13
469,Bariloche,-41.1456,-71.3082,46.15,76,75,16.11
470,Mocajuba,-2.5842,-49.5072,74.68,71,3,2.8
471,Sitka,57.0531,-135.33,60.69,72,90,4.61
472,Jalingo,8.8833,11.3667,72.95,94,100,4.0
473,San Vicente,-26.6167,-54.1333,55.29,60,1,2.84
474,Poso,-1.3959,120.7524,82.71,69,78,1.92
475,Trairi,-3.2778,-39.2689,79.09,80,3,13.98
476,Yunyang,33.4474,112.7142,73.8,95,96,9.1
477,Takoradze,4.8845,-1.7554,74.71,87,44,8.1
478,Astoria,46.1879,-123.8313,65.05,62,1,14.97
479,Arvika,59.6553,12.5852,61.41,83,100,2.15
480,Alyangula,-13.8483,136.4192,78.15,63,48,1.95
481,Shenzhen,22.5455,114.0683,86.99,83,94,5.17
482,Tecolutla,20.4833,-97.0167,82.42,82,5,12.48
483,Jászdózsa,47.5661,20.0153,64.31,62,95,6.06
484,Marystown,47.1666,-55.1483,56.71,91,100,11.16
485,Quang Ngai,15.1167,108.8,82.67,66,100,5.17
486,Marzuq,14.4,46.4667,77.13,58,69,2.64
487,Channel-Port aux Basques,47.5702,-59.1367,58.28,98,99,7.16
488,Tefé,-3.3542,-64.7114,75.52,78,41,1.61
489,Inhambane,-23.865,35.3833,66.09,66,0,15.28
490,Yankton,42.8711,-97.3973,86.25,62,1,12.66
491,Alvorada,-12.48,-49.1247,76.48,36,20,5.28
492,Dhārchula,29.85,80.5333,73.8,88,90,0.89
493,Mayor Pablo Lagerenza,-19.9309,-60.7718,70.84,33,0,4.65
494,Zhigansk,66.7697,123.3711,65.89,70,100,5.68
495,Fergus Falls,46.283,-96.0776,85.84,62,75,6.91
496,Kismayo,-0.3582,42.5454,76.14,78,37,18.59
497,Toppenish,46.3774,-120.3087,84.51,23,94,7.14
498,Palmer,42.1584,-72.3287,67.15,72,85,2.55
499,Sembakung,3.8167,117.25,84.13,73,89,2.48
500,Agadir,30.4202,-9.5982,68.45,58,8,2.04
501,Dingle,10.9995,122.6711,82.83,78,100,19.24
502,Laredo,27.5064,-99.5075,90.81,58,40,12.66
503,Cadillac,44.2519,-85.4012,69.55,68,40,4.61
504,Chumikan,54.7183,135.315,71.65,67,8,5.77
505,Alice Springs,-23.7,133.8833,60.35,44,4,8.05
506,Izhma,65.0083,53.9113,49.86,60,100,4.03
507,Durusu,41.3053,28.6767,74.71,71,1,13.0
508,Huangmei,30.1924,116.025,83.23,74,81,11.88
509,Bulgan,48.8125,103.5347,68.29,68,75,3.13
510,Algeciras,36.1333,-5.4505,71.29,94,75,2.3
511,Tibacuy,4.3511,-72.4564,71.31,96,100,5.48
512,Huilong,31.8111,121.655,83.98,76,0,19.33
513,Ust-Tsilma,65.441,52.1498,49.5,96,100,5.01
514,Purpe,64.4803,76.6897,66.36,63,100,7.87
515,Wenatchee,47.4235,-120.3103,86.14,22,1,4.0
516,Nhulunbuy,-12.2333,136.7667,84.81,54,20,6.91
517,São José da Coroa Grande,-8.8978,-35.1478,73.8,83,22,11.43
518,Ubari,26.5921,12.7805,81.1,25,0,11.14
519,Byron Bay,-28.65,153.6167,64.09,64,98,13.4
520,Berdigestyakh,62.0989,126.6992,74.52,46,100,4.38
521,Umm Kaddadah,13.6017,26.6876,82.83,55,98,9.89
522,Myitkyina,25.3833,97.4,80.24,83,80,0.96
523,Praia da Vitória,38.7333,-27.0667,68.25,77,20,9.75
524,Mogadishu,2.0371,45.3438,76.55,85,53,21.12
525,Dunedin,-45.8742,170.5036,54.81,53,7,7.0
526,Ichinohe,40.2069,141.3017,79.36,65,100,1.59
527,Port Moresby,-9.4431,147.1797,85.42,62,40,11.5
528,Vaxjo,56.8777,14.8091,52.0,100,6,2.3
529,Palana,59.1167,159.9667,53.96,77,62,6.6
530,Moyale,3.5167,39.0584,63.59,72,0,11.07
531,Acarí,-15.4311,-74.6158,65.66,75,30,3.29
532,Labuhan,-6.8844,112.2051,80.4,75,9,6.42
533,Gushikawa,26.3544,127.8686,80.06,92,75,28.77
534,Ribeira Grande,38.5167,-28.7,68.67,76,5,7.34
535,Cobija,-11.0267,-68.7692,71.13,53,0,0.78
536,Nosy Varika,-20.5833,48.5333,65.41,87,39,3.71
537,Bagdarin,54.4333,113.6,68.81,71,0,2.44
538,Devils Lake,48.1128,-98.8651,84.18,70,1,0.0
539,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,63.23,44,0,6.73
540,Tamiahua,21.2667,-97.45,81.97,81,6,8.5
541,Pochinki,54.6988,44.8668,51.87,57,7,5.77
542,Alghero,40.5589,8.3181,69.89,73,0,5.75
543,Sisimiut,66.9395,-53.6735,42.96,93,100,2.06
544,Vrangel',42.7297,133.0839,80.38,79,12,9.06
545,Takaungu,-3.6837,39.8566,72.09,81,11,14.32
546,Vanimo,-2.6741,141.3028,82.08,82,88,4.23
547,Kumul,42.8,93.45,93.07,26,100,10.25
548,Degollado,20.467,-102.1498,62.29,90,100,5.95
549,Dalvik,65.9702,-18.5286,53.53,77,100,1.99
550,Barra,-11.0894,-43.1417,74.79,62,0,16.49
551,Manadhoo,5.7667,73.3833,82.2,77,100,18.52
552,Kashgar,39.4547,75.9797,69.01,77,0,4.47
553,Nago,26.5881,127.9761,80.89,92,100,32.06
554,Changying,52.8733,123.3213,77.36,81,73,5.14
555,Stykkisholmur,65.0757,-22.7297,52.83,95,100,8.93
556,Grand Gaube,-20.0064,57.6608,70.38,70,15,4.0
557,Iquitos,-3.7481,-73.2472,75.24,88,20,0.0
558,Kawalu,-7.3817,108.2082,76.37,82,64,1.66
559,Acaraú,-2.8856,-40.12,79.16,80,2,19.48
560,Iwanai,42.9744,140.5089,83.86,61,100,2.57
561,North Charleston,32.8886,-80.0075,77.76,94,40,0.0
562,Casablanca,33.5928,-7.6192,73.17,88,100,11.01
563,Wilmington,34.2257,-77.9447,77.9,95,75,3.44
564,Key Largo,25.0865,-80.4473,84.07,68,100,4.68
565,Uchiza,-8.4592,-76.4633,70.95,82,46,2.89
566,Cabedelo,-6.9811,-34.8339,72.27,83,94,12.41
567,Tabat,-2.635,115.2274,81.82,69,100,0.56
568,Kingston,17.997,-76.7936,81.61,72,20,18.41
569,Assaí,-23.3733,-50.8414,64.26,43,0,5.95
570,Nikki,9.9401,3.2108,71.51,90,100,7.02
571,Vaitape,-16.5167,-151.75,77.97,69,8,14.5
572,El Alto,-4.2714,-81.2147,63.48,85,18,19.35
573,Dolores,-36.3132,-57.6792,50.9,77,100,8.21
